task_id,algorithm,runtime_learners,runtime_surrogate,runtime_optimizer,mean_runtime_learners,walltime,cpu_hours,evals,performance,utilization,repls
german-credit,cl_mbo,325.7058,200.890454673767,330.985346698761,0.650834779614324,574.669563245773,71.5144345372518,501.6,0.1918,0.00333508277208529,5
german-credit,central_mbo,287.141258541871,235.094933176041,356.179120540619,0.527234473304965,592.82961063385,73.7743515455458,545.4,0.191,0.00330750449133704,5
german-credit,async_mbo,11164.4912950863,211613.953054476,29171.6693188191,0.70652876698705,594.42618803978,73.9730367338393,15795.6,0.1838,0.946104101938413,5
kddcup09-appetency,cl_mbo,3492.9248,22.6617925643921,73.8478529453278,26.4615515151515,724.642267894745,90.1777044491238,132,0.017536,0.0110564409188924,5
kddcup09-appetency,central_mbo,12407.8723227074,239.263296508789,348.478113698959,23.2100529592247,588.015074968338,73.1752093293932,526.2,0.017492,0.0493324474767014,5
kddcup09-appetency,async_mbo,201426.313736644,37155.0314435482,9164.55938487053,30.0496961399383,590.352796649933,73.466125805325,6519.6,0.017432,0.936735403120652,5
adult,cl_mbo,4271.4932,122.821805524826,241.936861848831,11.5282755681818,579.617898511887,72.1302273703681,369.6,0.122673140713059,0.0178165614113645,5
adult,central_mbo,5809.45221717148,229.628425788879,361.577581262589,11.4348836062896,591.534720659256,73.6132096820408,500.4,0.122619966016077,0.0241575389542228,5
adult,async_mbo,149506.961737038,91393.8536789894,13773.9727129459,15.1182276811114,593.735286378861,73.8870578604804,9727.6,0.122177687131628,0.957447737299829,5
airlines,cl_mbo,27395.8988,18.8148065567017,60.7934950828552,285.89888030303,664.341332483292,82.6735880423652,96.8,0.323555616535558,0.0915601800548778,5
airlines,central_mbo,83107.9502229763,220.31592798233,364.407388877869,157.82563134299,585.11237859726,72.8139848921034,334,0.323453647532653,0.31897962491955,5
airlines,async_mbo,260517.415644782,293.403336143494,567.053595590591,270.845428130442,586.260436058045,72.9568542650011,493.8,0.323331286373514,0.995180410782729,5
